"","Country","League","Season","Datetime","Home","Away","HG","AG","Res","HAGG","AAGG","AACG","HACG","HTP","ATP","TG","PH","PD","PA"
"81","USA","MLS",2012,2012-05-06,"Los Angeles Galaxy","New York Red Bulls",0,1,"A","1.375","2.25","1.75","1.625","11","7","1","1.68","4.01","5.62"
"82","USA","MLS",2012,2012-05-06,"Sporting Kansas City","Montreal Impact",0,2,"A","1.5","1","1.66666666666667","0.375","2","15","2","1.38","4.9","11.15"
"83","USA","MLS",2012,2012-05-06,"Real Salt Lake","New England Revolution",2,1,"H","1.6","0.875","1.25","1.1","4","12","3","1.53","4.44","7.06"
"84","USA","MLS",2012,2012-05-06,"Portland Timbers","Columbus Crew",0,0,"D","1.125","0.857142857142857","1.42857142857143","1.625","18","16","0","2.08","3.42","4.04"
"85","USA","MLS",2012,2012-05-07,"FC Dallas","Colorado Rapids",0,2,"A","1.11111111111111","1.44444444444444","1.33333333333333","1.33333333333333","9","8","2","2.25","3.31","3.63"
"86","USA","MLS",2012,2012-05-10,"New York Red Bulls","Houston Dynamo",1,0,"H","2.11111111111111","1.16666666666667","1.33333333333333","1.55555555555556","7","15","1","2.34","3.39","3.36"
"87","USA","MLS",2012,2012-05-10,"Chicago Fire","Real Salt Lake",0,0,"D","1.28571428571429","1.63636363636364","1.09090909090909","1.28571428571429","10","2","0","2.06","3.71","3.75"
"88","USA","MLS",2012,2012-05-10,"FC Dallas","Seattle Sounders",0,2,"A","1","1.375","0.375","1.4","9","4","2","3.02","3.22","2.64"
"89","USA","MLS",2012,2012-05-12,"Montreal Impact","Los Angeles Galaxy",1,1,"D","1.1","1.22222222222222","1.55555555555556","1.5","11","12","2","2.98","3.57","2.47"
"90","USA","MLS",2012,2012-05-12,"Houston Dynamo","DC United",1,0,"H","1","1.81818181818182","1.36363636363636","1.28571428571429","15","6","1","1.88","3.7","4.59"
"91","USA","MLS",2012,2012-05-13,"Columbus Crew","FC Dallas",2,1,"H","0.75","0.909090909090909","1.45454545454545","1.25","16","11","3","2.18","3.56","3.56"
"92","USA","MLS",2012,2012-05-13,"New England Revolution","Vancouver Whitecaps",4,1,"H","0.888888888888889","1","0.777777777777778","1.33333333333333","14","7","5","2.18","3.56","3.56"
"93","USA","MLS",2012,2012-05-13,"Chicago Fire","Sporting Kansas City",2,1,"H","1.125","1.33333333333333","0.555555555555556","1.125","9","4","3","3.07","3.34","2.52"
"94","USA","MLS",2012,2012-05-13,"Seattle Sounders","Real Salt Lake",0,1,"A","1.44444444444444","1.5","1","0.333333333333333","2","1","1","1.94","3.62","4.37"
"95","USA","MLS",2012,2012-05-13,"Philadelphia Union","New York Red Bulls",2,3,"A","0.625","2","1.4","1.125","18","5","5","2.68","3.24","2.95"
"96","USA","MLS",2012,2012-05-14,"San Jose Earthquakes","Chivas USA",1,1,"D","2.1","0.555555555555556","1.22222222222222","1.1","2","16","2","1.67","3.89","6.16"
"97","USA","MLS",2012,2012-05-16,"Houston Dynamo","Portland Timbers",0,0,"D","1","1","1.44444444444444","1.125","13","17","0","1.74","3.7","5.75"
"98","USA","MLS",2012,2012-05-17,"DC United","Colorado Rapids",2,0,"H","1.66666666666667","1.5","1.2","1.33333333333333","6","8","2","2.12","3.48","3.82"
"99","USA","MLS",2012,2012-05-19,"Vancouver Whitecaps","Seattle Sounders",2,2,"D","1","1.3","0.4","1.1","7","3","4","3.18","3.44","2.41"
"100","USA","MLS",2012,2012-05-20,"DC United","Toronto FC",3,1,"H","1.69230769230769","0.75","2.25","1.23076923076923","6","19","4","1.64","4.28","5.7"
"101","USA","MLS",2012,2012-05-20,"Montreal Impact","New York Red Bulls",1,2,"A","1.09090909090909","2.09090909090909","1.45454545454545","1.45454545454545","12","4","3","2.46","3.45","3.08"
"102","USA","MLS",2012,2012-05-20,"New England Revolution","Houston Dynamo",2,2,"D","1.2","0.888888888888889","1","1.3","11","10","4","2.46","3.48","3.06"
"103","USA","MLS",2012,2012-05-20,"FC Dallas","Philadelphia Union",1,1,"D","0.916666666666667","0.777777777777778","1.33333333333333","1.5","13","18","2","2.06","3.48","4.03"
"104","USA","MLS",2012,2012-05-20,"Colorado Rapids","Sporting Kansas City",2,2,"D","1.36363636363636","1.3","0.7","1.27272727272727","9","5","4","3.1","3.36","2.5"
"105","USA","MLS",2012,2012-05-20,"Chivas USA","Los Angeles Galaxy",1,0,"H","0.6","1.2","1.5","1.2","16","15","1","3.98","3.55","2.04"
"106","USA","MLS",2012,2012-05-20,"San Jose Earthquakes","Columbus Crew",1,1,"D","2","0.888888888888889","1.22222222222222","1.09090909090909","2","14","2","1.6","4.11","6.62"
"107","USA","MLS",2012,2012-05-21,"Portland Timbers","Chicago Fire",2,1,"H","0.9","1.22222222222222","1.11111111111111","1.3","17","9","3","2.25","3.38","3.57"
"108","USA","MLS",2012,2012-05-24,"New York Red Bulls","Chivas USA",1,1,"D","2.08333333333333","0.636363636363636","1.09090909090909","1.41666666666667","2","12","2","1.63","3.97","6.45"
"109","USA","MLS",2012,2012-05-24,"Chicago Fire","FC Dallas",2,1,"H","1.2","0.923076923076923","1.46153846153846","1.2","9","13","3","2.04","3.33","4.32"
"110","USA","MLS",2012,2012-05-24,"Seattle Sounders","Columbus Crew",0,2,"A","1.36363636363636","0.9","1.2","0.545454545454545","5","14","2","1.63","3.75","7.15"
"111","USA","MLS",2012,2012-05-24,"Los Angeles Galaxy","San Jose Earthquakes",2,3,"A","1.09090909090909","1.91666666666667","1.08333333333333","1.45454545454545","17","3","5","2.56","3.29","3.07"
"112","USA","MLS",2012,2012-05-26,"Houston Dynamo","Los Angeles Galaxy",2,1,"H","1","1.16666666666667","1.58333333333333","1.1","12","17","3","2.18","3.39","3.75"
"113","USA","MLS",2012,2012-05-26,"Toronto FC","Philadelphia Union",1,0,"H","0.777777777777778","0.8","1.3","2.33333333333333","19","18","1","2","3.44","4.22"
"114","USA","MLS",2012,2012-05-27,"Columbus Crew","Chicago Fire",2,1,"H","1","1.27272727272727","1.18181818181818","1.09090909090909","11","7","3","2.46","3.26","3.25"
"115","USA","MLS",2012,2012-05-27,"DC United","New England Revolution",3,2,"H","1.78571428571429","1.27272727272727","1.36363636363636","1.21428571428571","4","13","5","1.84","3.7","4.84"
"116","USA","MLS",2012,2012-05-27,"Colorado Rapids","Montreal Impact",3,2,"H","1.41666666666667","1.08333333333333","1.5","1.33333333333333","9","16","5","1.76","3.75","5.41"
"117","USA","MLS",2012,2012-05-27,"Real Salt Lake","FC Dallas",3,2,"H","1.46153846153846","0.928571428571429","1.5","0.923076923076923","3","14","5","1.7","3.77","6"
"118","USA","MLS",2012,2012-05-27,"Portland Timbers","Vancouver Whitecaps",1,1,"D","1","1.09090909090909","1.18181818181818","1.27272727272727","15","8","2","2.21","3.27","3.81"
"119","USA","MLS",2012,2012-05-27,"Chivas USA","Seattle Sounders",1,1,"D","0.666666666666667","1.25","0.666666666666667","1.08333333333333","12","5","2","3.17","3.33","2.48"
"120","USA","MLS",2012,2012-05-27,"Sporting Kansas City","San Jose Earthquakes",2,1,"H","1.36363636363636","2","1.15384615384615","0.818181818181818","6","1","3","1.83","3.63","5.01"
"121","USA","MLS",2012,2012-06-03,"New England Revolution","Chicago Fire",2,0,"H","1.33333333333333","1.25","1.25","1.5","13","9","2","2.16","3.35","3.81"
"122","USA","MLS",2012,2012-06-11,"Vancouver Whitecaps","Houston Dynamo",3,1,"H","1.08333333333333","1.09090909090909","1.09090909090909","1.16666666666667","8","11","4","2.47","3.35","3.15"
"123","USA","MLS",2012,2012-06-17,"Philadelphia Union","DC United",0,1,"A","0.727272727272727","1.86666666666667","1.26666666666667","1.27272727272727","18","3","1","2.66","3.48","2.8"
"124","USA","MLS",2012,2012-06-17,"Vancouver Whitecaps","Colorado Rapids",1,0,"H","1.23076923076923","1.53846153846154","1.38461538461538","1.15384615384615","7","8","1","1.99","3.58","4.2"
"125","USA","MLS",2012,2012-06-17,"Houston Dynamo","FC Dallas",2,1,"H","1.08333333333333","1","1.6","1.25","12","15","3","1.7","3.8","5.84"
"126","USA","MLS",2012,2012-06-17,"Montreal Impact","Seattle Sounders",4,1,"H","1.15384615384615","1.23076923076923","0.692307692307692","1.61538461538462","16","6","5","3.07","3.41","2.49"
"127","USA","MLS",2012,2012-06-17,"New England Revolution","Columbus Crew",0,0,"D","1.38461538461538","1.08333333333333","1.08333333333333","1.38461538461538","11","9","0","2.25","3.45","3.49"
"128","USA","MLS",2012,2012-06-17,"Sporting Kansas City","Toronto FC",2,0,"H","1.41666666666667","0.8","2.1","0.833333333333333","5","19","2","1.6","4.17","6.46"
"129","USA","MLS",2012,2012-06-17,"Chivas USA","Real Salt Lake",0,3,"A","0.692307692307692","1.57142857142857","1","1.07692307692308","13","1","3","3.02","3.36","2.56"
"130","USA","MLS",2012,2012-06-17,"Chicago Fire","New York Red Bulls",3,1,"H","1.15384615384615","2","1.38461538461538","1.30769230769231","10","4","4","2.34","3.54","3.22"
"131","USA","MLS",2012,2012-06-18,"Los Angeles Galaxy","Portland Timbers",1,0,"H","1.15384615384615","1","1.25","1.61538461538462","17","15","1","1.7","3.84","5.82"
"132","USA","MLS",2012,2012-06-21,"Houston Dynamo","Toronto FC",3,3,"D","1.15384615384615","0.727272727272727","2.09090909090909","1.23076923076923","11","19","6","1.61","4.09","6.4"
"133","USA","MLS",2012,2012-06-21,"Real Salt Lake","Los Angeles Galaxy",2,3,"A","1.66666666666667","1.14285714285714","1.5","0.933333333333333","1","15","5","1.91","3.62","4.54"
"134","USA","MLS",2012,2012-06-21,"Colorado Rapids","San Jose Earthquakes",1,2,"A","1.42857142857143","1.92857142857143","1.21428571428571","1.35714285714286","9","4","3","2.24","3.49","3.45"
"135","USA","MLS",2012,2012-06-21,"Seattle Sounders","Sporting Kansas City",1,1,"D","1.21428571428571","1.46153846153846","0.769230769230769","0.928571428571429","7","3","2","2.2","3.39","3.68"
"136","USA","MLS",2012,2012-06-21,"Chivas USA","Montreal Impact",2,1,"H","0.642857142857143","1.35714285714286","1.57142857142857","1.21428571428571","14","13","3","2.34","3.31","3.44"
"137","USA","MLS",2012,2012-06-21,"Vancouver Whitecaps","New York Red Bulls",1,1,"D","1.21428571428571","1.92857142857143","1.5","1.07142857142857","6","5","2","2.21","3.5","3.57"
"138","USA","MLS",2012,2012-06-23,"Toronto FC","New England Revolution",2,2,"D","0.916666666666667","1.28571428571429","1.28571428571429","2.16666666666667","19","13","4","2.21","3.46","3.57"
"139","USA","MLS",2012,2012-06-24,"Philadelphia Union","Sporting Kansas City",4,0,"H","0.666666666666667","1.42857142857143","0.785714285714286","1.25","18","4","4","3.41","3.47","2.27"
"140","USA","MLS",2012,2012-06-24,"Montreal Impact","Houston Dynamo",4,2,"H","1.33333333333333","1.28571428571429","1.35714285714286","1.6","15","9","6","2.48","3.45","3.06"
